,Age,Country,EdLevel,YearsCodePro,RemoteWork,Salary
193,18-24 years old,United States of America,Less than a Bachelors,1.0,Hybrid,70000.0
196,25-34 years old,India,Bachelor’s degree,5.0,Remote,58037.0
203,25-34 years old,France,Master’s degree,4.0,Hybrid,52789.0
204,25-34 years old,United States of America,Master’s degree,4.0,Person,100000.0
205,25-34 years old,United States of America,Less than a Bachelors,10.0,Person,120000.0
207,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,8.0,Hybrid,60307.0
210,35-44 years old,United States of America,Bachelor’s degree,9.0,Remote,100000.0
212,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,0.5,Remote,27641.0
214,18-24 years old,United States of America,Bachelor’s degree,5.0,Person,75000.0
215,25-34 years old,Belgium,Master’s degree,5.0,Hybrid,63984.0
217,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,Hybrid,213587.0
218,35-44 years old,France,Master’s degree,15.0,Hybrid,85315.0
222,35-44 years old,United States of America,Bachelor’s degree,14.0,Remote,147000.0
223,18-24 years old,United States of America,Bachelor’s degree,2.0,Remote,172000.0
224,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,Remote,59050.0
225,35-44 years old,United States of America,Bachelor’s degree,14.0,Hybrid,101000.0
228,35-44 years old,United States of America,Less than a Bachelors,9.0,Remote,120000.0
232,35-44 years old,United States of America,Less than a Bachelors,19.0,Remote,160000.0
233,25-34 years old,United States of America,Bachelor’s degree,4.0,Remote,175000.0
234,25-34 years old,Brazil,Bachelor’s degree,3.0,Hybrid,42440.0
237,25-34 years old,Canada,Bachelor’s degree,5.0,Remote,136647.0
238,Over 45,Netherlands,Bachelor’s degree,37.0,Hybrid,62387.0
239,65 years or older,United States of America,Less than a Bachelors,46.0,Remote,100000.0
241,25-34 years old,France,Master’s degree,3.0,Hybrid,58654.0
242,25-34 years old,Canada,Less than a Bachelors,0.5,Person,46850.0
243,35-44 years old,Germany,Master’s degree,20.0,Hybrid,68252.0
244,18-24 years old,Mexico,Bachelor’s degree,0.5,Person,12500.0
245,25-34 years old,Spain,Master’s degree,3.0,Hybrid,26128.0
246,25-34 years old,United States of America,Bachelor’s degree,5.0,Remote,75000.0
247,35-44 years old,United States of America,Bachelor’s degree,22.0,Hybrid,250000.0
253,35-44 years old,Netherlands,Less than a Bachelors,12.0,Hybrid,49056.0
254,18-24 years old,Canada,Less than a Bachelors,3.0,Remote,75507.0
258,25-34 years old,Poland,Master’s degree,2.0,Hybrid,27756.0
259,25-34 years old,Israel,Bachelor’s degree,11.0,Hybrid,197292.0
260,25-34 years old,Sweden,Master’s degree,6.0,Hybrid,73140.0
261,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,Person,27641.0
262,18-24 years old,Canada,Bachelor’s degree,2.0,Hybrid,43727.0
264,35-44 years old,Israel,Bachelor’s degree,15.0,Hybrid,190925.0
266,25-34 years old,Czech Republic,Master’s degree,7.0,Remote,114324.0
267,25-34 years old,Poland,Master’s degree,10.0,Hybrid,50875.0
271,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,Hybrid,96742.0
272,35-44 years old,Switzerland,Master’s degree,20.0,Hybrid,155129.0
273,Over 45,United States of America,Bachelor’s degree,23.0,Hybrid,140000.0
275,25-34 years old,Israel,Less than a Bachelors,6.0,Remote,96852.0
276,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,Hybrid,42089.0
277,25-34 years old,Netherlands,Bachelor’s degree,12.0,Hybrid,93846.0
278,25-34 years old,United States of America,Bachelor’s degree,2.0,Hybrid,67000.0
279,35-44 years old,Brazil,Bachelor’s degree,15.0,Remote,86304.0
282,18-24 years old,Netherlands,Less than a Bachelors,1.0,Person,213287.0
285,25-34 years old,Austria,Less than a Bachelors,13.0,Hybrid,66119.0
287,25-34 years old,Germany,Master’s degree,3.0,Remote,71451.0
288,25-34 years old,United States of America,Bachelor’s degree,3.0,Remote,150000.0
290,18-24 years old,United States of America,Bachelor’s degree,3.0,Person,83000.0
292,25-34 years old,Sweden,Bachelor’s degree,10.0,Hybrid,71916.0
294,25-34 years old,France,Master’s degree,5.0,Person,34126.0
296,25-34 years old,Canada,Master’s degree,7.0,Hybrid,70276.0
297,35-44 years old,Canada,Master’s degree,14.0,Hybrid,140551.0
298,25-34 years old,Poland,Master’s degree,4.0,Hybrid,41628.0
299,25-34 years old,United States of America,Bachelor’s degree,8.0,Hybrid,104000.0
302,18-24 years old,United States of America,Bachelor’s degree,1.0,Hybrid,155000.0
304,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,7.0,Hybrid,26384.0
307,35-44 years old,United States of America,Bachelor’s degree,10.0,Remote,206000.0
311,35-44 years old,Spain,Less than a Bachelors,15.0,Person,49056.0
312,35-44 years old,United States of America,Bachelor’s degree,3.0,Hybrid,45000.0
315,25-34 years old,United States of America,Bachelor’s degree,2.0,Hybrid,130000.0
316,25-34 years old,United States of America,Less than a Bachelors,10.0,Remote,230000.0
317,35-44 years old,United States of America,Bachelor’s degree,12.0,Remote,155000.0
322,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,19.0,Hybrid,138203.0
323,Over 45,Austria,Less than a Bachelors,24.0,Remote,74651.0
325,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,Remote,75384.0
330,25-34 years old,Canada,Less than a Bachelors,10.0,Remote,74180.0
331,18-24 years old,United States of America,Bachelor’s degree,4.0,Remote,130000.0
333,25-34 years old,Israel,Master’s degree,12.0,Hybrid,194303.0
335,Over 45,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,24.0,Remote,81666.0
337,18-24 years old,United States of America,Bachelor’s degree,1.0,Hybrid,80000.0
342,35-44 years old,South Africa,Bachelor’s degree,21.0,Remote,56897.0
344,18-24 years old,United States of America,Bachelor’s degree,4.0,Hybrid,240000.0
346,18-24 years old,Germany,Less than a Bachelors,1.0,Hybrid,44790.0
347,25-34 years old,United States of America,Master’s degree,0.5,Hybrid,100000.0
348,25-34 years old,United States of America,Bachelor’s degree,7.0,Remote,75000.0
351,25-34 years old,Austria,Bachelor’s degree,3.0,Hybrid,43512.0
354,35-44 years old,Sweden,Master’s degree,10.0,Hybrid,68256.0
356,25-34 years old,United States of America,Master’s degree,3.0,Remote,120000.0
357,35-44 years old,United States of America,Bachelor’s degree,20.0,Remote,160000.0
359,Over 45,United States of America,Post grad,32.0,Hybrid,175000.0
361,25-34 years old,United States of America,Bachelor’s degree,11.0,Hybrid,150000.0
362,25-34 years old,Sweden,Less than a Bachelors,7.0,Hybrid,60948.0
363,35-44 years old,United States of America,Less than a Bachelors,14.0,Remote,120000.0
364,35-44 years old,United States of America,Master’s degree,20.0,Remote,210000.0
367,25-34 years old,United States of America,Bachelor’s degree,4.0,Hybrid,109000.0
368,18-24 years old,United States of America,Bachelor’s degree,4.0,Hybrid,70000.0
370,25-34 years old,United States of America,Less than a Bachelors,13.0,Person,150000.0
372,25-34 years old,United States of America,Bachelor’s degree,5.0,Remote,100000.0
373,25-34 years old,Brazil,Bachelor’s degree,19.0,Remote,74784.0
378,18-24 years old,Italy,Less than a Bachelors,1.0,Hybrid,14460.0
381,Over 45,United States of America,Bachelor’s degree,15.0,Remote,96000.0
382,18-24 years old,United States of America,Less than a Bachelors,2.0,Remote,52800.0
383,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,10.0,Remote,50256.0
385,35-44 years old,United States of America,Bachelor’s degree,22.0,Remote,160000.0
386,25-34 years old,Finland,Bachelor’s degree,6.0,Hybrid,42228.0
387,25-34 years old,United States of America,Bachelor’s degree,9.0,Hybrid,124000.0
388,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,12.0,Hybrid,125639.0
390,25-34 years old,France,Master’s degree,5.0,Hybrid,44790.0
391,35-44 years old,United States of America,Bachelor’s degree,20.0,Remote,205000.0
393,25-34 years old,Netherlands,Bachelor’s degree,6.0,Hybrid,54384.0
394,18-24 years old,United States of America,Less than a Bachelors,4.0,Hybrid,100000.0
397,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,Remote,55281.0
400,25-34 years old,France,Master’s degree,5.0,Hybrid,52255.0
402,25-34 years old,Israel,Bachelor’s degree,4.0,Hybrid,111204.0
403,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,7.0,Hybrid,56538.0
404,18-24 years old,United States of America,Bachelor’s degree,1.0,Person,76000.0
405,25-34 years old,United States of America,Bachelor’s degree,8.0,Remote,115000.0
406,18-24 years old,United States of America,Less than a Bachelors,8.0,Remote,200000.0
410,25-34 years old,Denmark,Master’s degree,2.0,Hybrid,103248.0
411,18-24 years old,Germany,Less than a Bachelors,3.0,Hybrid,40956.0
419,35-44 years old,United States of America,Bachelor’s degree,12.0,Remote,86000.0
422,25-34 years old,United States of America,Bachelor’s degree,5.0,Remote,165000.0
424,35-44 years old,Belgium,Bachelor’s degree,23.0,Hybrid,92780.0
426,18-24 years old,United States of America,Less than a Bachelors,0.5,Remote,160000.0
427,25-34 years old,United States of America,Master’s degree,5.0,Remote,145000.0
429,25-34 years old,United States of America,Less than a Bachelors,6.0,Hybrid,80000.0
431,35-44 years old,Spain,Less than a Bachelors,6.0,Hybrid,31993.0
432,25-34 years old,United States of America,Bachelor’s degree,3.0,Hybrid,96300.0
435,25-34 years old,Germany,Bachelor’s degree,1.0,Hybrid,57588.0
436,25-34 years old,United States of America,Less than a Bachelors,1.0,Person,55000.0
439,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,12.0,Hybrid,126142.0
440,25-34 years old,United States of America,Bachelor’s degree,4.0,Remote,158000.0
443,25-34 years old,United States of America,Post grad,5.0,Hybrid,90000.0
445,35-44 years old,Spain,Bachelor’s degree,10.0,Hybrid,25594.0
446,35-44 years old,Spain,Less than a Bachelors,0.5,Hybrid,21329.0
447,25-34 years old,United States of America,Bachelor’s degree,6.0,Remote,150000.0
454,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,Remote,87948.0
458,25-34 years old,Sweden,Master’s degree,7.0,Hybrid,92436.0
460,18-24 years old,United States of America,Less than a Bachelors,1.0,Hybrid,75000.0
463,25-34 years old,Israel,Bachelor’s degree,9.0,Hybrid,150660.0
465,Over 45,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,22.0,Hybrid,108050.0
466,25-34 years old,France,Bachelor’s degree,5.0,Hybrid,36259.0
467,25-34 years old,Canada,Bachelor’s degree,1.0,Remote,89016.0
468,25-34 years old,United States of America,Less than a Bachelors,8.0,Remote,120000.0
469,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,Remote,100511.0
470,25-34 years old,United States of America,Master’s degree,6.0,Hybrid,140000.0
473,18-24 years old,Netherlands,Bachelor’s degree,2.0,Hybrid,42228.0
475,35-44 years old,Australia,Bachelor’s degree,19.0,Hybrid,106157.0
481,18-24 years old,Greece,Bachelor’s degree,1.0,Hybrid,17063.0
483,35-44 years old,United States of America,Master’s degree,20.0,Remote,200000.0
485,25-34 years old,Czech Republic,Less than a Bachelors,5.0,Hybrid,24420.0
488,35-44 years old,United States of America,Bachelor’s degree,17.0,Remote,160000.0
490,25-34 years old,United States of America,Master’s degree,5.0,Hybrid,110000.0
493,25-34 years old,Netherlands,Bachelor’s degree,4.0,Hybrid,62712.0
494,25-34 years old,Germany,Bachelor’s degree,6.0,Hybrid,63986.0
496,18-24 years old,Australia,Bachelor’s degree,1.0,Hybrid,67940.0
497,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,15.0,Remote,125639.0
498,25-34 years old,United States of America,Master’s degree,8.0,Remote,300000.0
499,25-34 years old,United States of America,Bachelor’s degree,6.0,Hybrid,300000.0
500,25-34 years old,United States of America,Less than a Bachelors,4.0,Remote,53000.0
501,35-44 years old,Switzerland,Master’s degree,10.0,Hybrid,110659.0
507,25-34 years old,United States of America,Bachelor’s degree,3.0,Remote,72000.0
509,25-34 years old,Canada,Bachelor’s degree,3.0,Remote,62467.0
510,25-34 years old,United States of America,Bachelor’s degree,3.0,Hybrid,50000.0
512,25-34 years old,France,Master’s degree,9.0,Remote,106644.0
515,Over 45,Canada,Bachelor’s degree,27.0,Remote,54659.0
520,25-34 years old,Finland,Bachelor’s degree,2.0,Hybrid,38388.0
524,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,4.0,Hybrid,60307.0
525,35-44 years old,India,Bachelor’s degree,13.0,Hybrid,30948.0
527,25-34 years old,United States of America,Bachelor’s degree,5.0,Remote,262000.0
528,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,9.0,Hybrid,50256.0
534,25-34 years old,Canada,Bachelor’s degree,4.0,Remote,58563.0
536,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,6.0,Hybrid,56538.0
538,35-44 years old,Portugal,Master’s degree,11.0,Remote,50123.0
539,25-34 years old,United States of America,Bachelor’s degree,1.0,Hybrid,200000.0
543,Over 45,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,28.0,Remote,113075.0
547,25-34 years old,United States of America,Bachelor’s degree,3.0,Hybrid,90000.0
553,25-34 years old,United States of America,Bachelor’s degree,2.0,Remote,70000.0
554,25-34 years old,United States of America,Bachelor’s degree,2.0,Remote,171000.0
557,25-34 years old,France,Master’s degree,1.0,Hybrid,26661.0
559,35-44 years old,United States of America,Master’s degree,14.0,Remote,86000.0
561,25-34 years old,Germany,Less than a Bachelors,7.0,Remote,47990.0
562,25-34 years old,United States of America,Bachelor’s degree,2.0,Hybrid,78000.0
563,25-34 years old,France,Less than a Bachelors,5.0,Hybrid,72518.0
565,35-44 years old,United States of America,Bachelor’s degree,22.0,Remote,187000.0
570,25-34 years old,India,Bachelor’s degree,5.0,Hybrid,64486.0
571,18-24 years old,United States of America,Bachelor’s degree,1.0,Remote,78337.0
574,25-34 years old,Australia,Less than a Bachelors,10.0,Hybrid,81387.0
577,25-34 years old,United States of America,Bachelor’s degree,11.0,Remote,215000.0
578,25-34 years old,Canada,Bachelor’s degree,5.0,Remote,85112.0
579,18-24 years old,Canada,Less than a Bachelors,2.0,Remote,50755.0
580,Over 45,United States of America,Bachelor’s degree,7.0,Remote,150000.0
581,25-34 years old,France,Master’s degree,6.0,Hybrid,47990.0
583,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,Remote,81666.0
584,25-34 years old,Germany,Master’s degree,14.0,Remote,170630.0
585,25-34 years old,United States of America,Bachelor’s degree,4.0,Hybrid,162373.0
586,35-44 years old,France,Master’s degree,14.0,Remote,69318.0
587,18-24 years old,Canada,Less than a Bachelors,2.0,Remote,64029.0
589,25-34 years old,United States of America,Bachelor’s degree,1.0,Remote,55000.0
592,25-34 years old,Netherlands,Less than a Bachelors,10.0,Person,41592.0
594,25-34 years old,Denmark,Master’s degree,6.0,Hybrid,86040.0
595,35-44 years old,United States of America,Less than a Bachelors,15.0,Hybrid,125000.0
596,Over 45,United States of America,Less than a Bachelors,31.0,Remote,200000.0
602,25-34 years old,United States of America,Less than a Bachelors,12.0,Remote,110000.0
604,18-24 years old,United States of America,Master’s degree,2.0,Person,250000.0
605,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,7.0,Hybrid,71614.0
608,35-44 years old,Finland,Master’s degree,15.0,Hybrid,69744.0
609,25-34 years old,United States of America,Master’s degree,4.0,Hybrid,82000.0
610,18-24 years old,United States of America,Bachelor’s degree,8.0,Hybrid,125000.0
611,Over 45,United States of America,Bachelor’s degree,25.0,Hybrid,150000.0
612,25-34 years old,United States of America,Bachelor’s degree,7.0,Hybrid,180000.0
613,18-24 years old,Switzerland,Master’s degree,1.0,Hybrid,93078.0
617,Over 45,United States of America,Master’s degree,20.0,Hybrid,140000.0
618,35-44 years old,United States of America,Bachelor’s degree,21.0,Remote,95000.0
619,25-34 years old,Finland,Master’s degree,6.0,Remote,76788.0
621,25-34 years old,United States of America,Bachelor’s degree,7.0,Remote,125000.0
622,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,2.0,Remote,32666.0
629,25-34 years old,Netherlands,Master’s degree,2.0,Hybrid,154633.0
630,25-34 years old,Canada,Bachelor’s degree,5.0,Remote,121030.0
632,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,3.0,Hybrid,62820.0
634,35-44 years old,Poland,Master’s degree,12.0,Remote,77700.0
637,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,Remote,59679.0
640,35-44 years old,Germany,Post grad,10.0,Remote,95979.0
642,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,Remote,72243.0
643,35-44 years old,Canada,Bachelor’s degree,15.0,Hybrid,117126.0
650,25-34 years old,United States of America,Bachelor’s degree,10.0,Hybrid,265000.0
653,18-24 years old,Belgium,Bachelor’s degree,2.0,Hybrid,29436.0
654,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,2.0,Remote,44853.0
655,35-44 years old,United States of America,Less than a Bachelors,12.0,Remote,135000.0
657,25-34 years old,Germany,Master’s degree,5.0,Remote,65268.0
658,25-34 years old,United States of America,Bachelor’s degree,2.0,Hybrid,110000.0
660,25-34 years old,United States of America,Bachelor’s degree,7.0,Remote,75000.0
662,25-34 years old,Brazil,Less than a Bachelors,1.0,Remote,112176.0
663,35-44 years old,United States of America,Bachelor’s degree,23.0,Hybrid,120000.0
665,25-34 years old,United States of America,Bachelor’s degree,6.0,Hybrid,120000.0
669,Over 45,Spain,Post grad,22.0,Person,53322.0
671,25-34 years old,United States of America,Less than a Bachelors,8.0,Remote,114000.0
673,Over 45,United States of America,Master’s degree,25.0,Person,161000.0
674,35-44 years old,United States of America,Master’s degree,11.0,Hybrid,175000.0
675,Over 45,United States of America,Less than a Bachelors,20.0,Remote,172000.0
678,25-34 years old,Canada,Less than a Bachelors,11.0,Remote,105414.0
683,18-24 years old,Germany,Less than a Bachelors,3.0,Hybrid,63984.0
689,25-34 years old,United States of America,Bachelor’s degree,8.0,Person,62000.0
693,18-24 years old,United States of America,Bachelor’s degree,0.5,Hybrid,297000.0
696,25-34 years old,Poland,Bachelor’s degree,13.0,Remote,110000.0
698,35-44 years old,Germany,Bachelor’s degree,11.0,Hybrid,69318.0
699,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,5.0,Remote,87948.0
702,35-44 years old,United States of America,Bachelor’s degree,15.0,Remote,200000.0
704,Over 45,Austria,Post grad,30.0,Remote,159966.0
707,18-24 years old,United States of America,Bachelor’s degree,2.0,Hybrid,75000.0
708,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,2.0,Hybrid,41461.0
709,25-34 years old,United States of America,Bachelor’s degree,5.0,Remote,125000.0
712,18-24 years old,United States of America,Less than a Bachelors,4.0,Remote,85000.0
718,Prefer not to say,United States of America,Less than a Bachelors,14.0,Person,51000.0
722,25-34 years old,France,Master’s degree,7.0,Hybrid,49908.0
723,25-34 years old,Germany,Bachelor’s degree,7.0,Remote,110568.0
724,35-44 years old,United States of America,Less than a Bachelors,6.0,Remote,120000.0
727,25-34 years old,Canada,Bachelor’s degree,5.0,Hybrid,149922.0
730,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,8.0,Remote,113075.0
734,35-44 years old,United States of America,Master’s degree,10.0,Remote,225000.0
736,25-34 years old,United States of America,Bachelor’s degree,10.0,Remote,220000.0
737,18-24 years old,United States of America,Less than a Bachelors,11.0,Remote,180000.0
740,18-24 years old,United States of America,Bachelor’s degree,5.0,Hybrid,105000.0
747,25-34 years old,Germany,Bachelor’s degree,5.0,Hybrid,95979.0
749,35-44 years old,Spain,Less than a Bachelors,22.0,Hybrid,44790.0
751,25-34 years old,Canada,Bachelor’s degree,8.0,Hybrid,166319.0
753,Over 45,Brazil,Less than a Bachelors,34.0,Person,13212.0
756,25-34 years old,Spain,Post grad,10.0,Remote,37325.0
757,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Master’s degree,6.0,Hybrid,62820.0
759,25-34 years old,United States of America,Bachelor’s degree,4.0,Hybrid,120000.0
762,25-34 years old,Mexico,Bachelor’s degree,8.0,Person,18060.0
763,25-34 years old,United States of America,Bachelor’s degree,9.0,Hybrid,120000.0
764,25-34 years old,United States of America,Master’s degree,3.0,Hybrid,120000.0
766,18-24 years old,Brazil,Less than a Bachelors,3.0,Remote,14208.0
767,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,4.0,Hybrid,75384.0
773,Prefer not to say,United States of America,Bachelor’s degree,8.0,Remote,162000.0
774,Over 45,United Kingdom of Great Britain and Northern Ireland,Less than a Bachelors,10.0,Remote,175895.0
775,35-44 years old,United States of America,Less than a Bachelors,2.0,Remote,115000.0
777,25-34 years old,Norway,Bachelor’s degree,2.0,Person,66371.0
780,35-44 years old,United States of America,Master’s degree,12.0,Remote,250000.0
781,25-34 years old,United States of America,Bachelor’s degree,6.0,Remote,160000.0
782,18-24 years old,India,Bachelor’s degree,2.0,Hybrid,28374.0
784,35-44 years old,United States of America,Bachelor’s degree,12.0,Remote,160000.0
788,35-44 years old,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,16.0,Hybrid,125639.0
